datatype,texttype,channel,datatype_name,read_class,,
0,8,,Info Block,parameter,,
0,104,,History,text,,
0,152,,Curve Fit,text,,
0,168,,Signature,text,,
0,240,,Integration Method,text,,
0,,,Text Information,text,,
7,,4,ScSm,data,,
7,,8,IgSm,data,,
7,,12,PhSm,data,,
11,,4,ScRf,data,,
11,,8,IgRf,data,,
15,,16,AB,data,,
23,,4,ScSm Data Parameter,parameter,,
23,,8,IgSm Data Parameter,parameter,,
23,,12,PhSm Data Parameter,parameter,,
27,,4,ScRf Data Parameter,parameter,,
27,,8,IgRf Data Parameter,parameter,,
31,,16,AB Data Parameter,parameter,,
32,,,Instrument,parameter,,
40,,,Instrument (Rf),parameter,,
48,,,Acquisition,parameter,,
56,,,Acquisition (Rf),parameter,,
64,,,Fourier Transformation,parameter,,
72,,,Fourier Transformation (Rf),parameter,,
96,,,Optik,parameter,,
104,,,Optik (Rf),parameter,,
160,,,Sample,parameter,,
,,,Block not known,,,
